file_name,group_name
AD01_C1_INSOLUBLE_01,AD
AD01_C1_INSOLUBLE_02,AD
AD01_C1_INSOLUBLE_03,AD
AD01_C2_INSOLUBLE_01,AD
AD02_C1_INSOLUBLE_01,AD
AD02_C1_INSOLUBLE_02,AD
AD02_C2_INSOLUBLE_01,AD
AD03_C2_INSOLUBLE_01,AD
AD04_C2_INSOLUBLE_01,AD
AD05_C2_INSOLUBLE_01,AD
AD06_C1_INSOLUBLE_01,AD
AD07_C1_INSOLUBLE_01,AD
AD07_C1_INSOLUBLE_02,AD
AD07_C1_INSOLUBLE_03,AD
AD07_C2_INSOLUBLE_01,AD
AD08_C2_INSOLUBLE_01,AD
AD09_C1_INSOLUBLE_01,AD
AD10_C1_INSOLUBLE_01,AD
AD10_C2_INSOLUBLE_01,AD
AD11_C2_INSOLUBLE_01,AD
AD12_C2_INSOLUBLE_01,AD
AD13_C2_INSOLUBLE_01,AD
AD14_C2_INSOLUBLE_01,AD
AD15_C2_INSOLUBLE_01,AD
AD16_C2_INSOLUBLE_01,AD
AD17_C2_INSOLUBLE_01,AD
AD18_C2_INSOLUBLE_01,AD
AD19_C2_INSOLUBLE_01,AD
AD20_C1_INSOLUBLE_01,AD
AD21_C1_INSOLUBLE_01,AD
AD22_C1_INSOLUBLE_01,AD
AD23_C1_INSOLUBLE_02,AD
AD23_C2_INSOLUBLE_01,AD
AD24_C1_INSOLUBLE_01,AD
AD24_C1_INSOLUBLE_02,AD
AD25_C1_INSOLUBLE_01,AD
AD26_C1_INSOLUBLE_01,AD
AD27_C1_INSOLUBLE_01,AD
AD27_C1_INSOLUBLE_02,AD
AD28_C2_INSOLUBLE_01,AD
AD29_C1_INSOLUBLE_01,AD
AD30_C1_INSOLUBLE_01,AD
AD30_C1_INSOLUBLE_02,AD
AD30_C2_INSOLUBLE_01,AD
AD33_C2_INSOLUBLE_01,AD
AD34_C1_INSOLUBLE_01,AD
AD34_C1_INSOLUBLE_02,AD
AD35_C1_INSOLUBLE_01,AD
AD35_C1_INSOLUBLE_02,AD
AD36_C1_INSOLUBLE_01,AD
AD37_C1_INSOLUBLE_01,AD
AD37_C2_INSOLUBLE_01,AD
AD38_C1_INSOLUBLE_01,AD
